Attribute,Correlation,Correlation_Signed,P_Value,Rank
Q12,0.841580410735162,-0.841580410735162,3.111306990777045e-42,1
Q24,0.19466957984102976,-0.19466957984102976,0.01589585567197262,2
Q52,0.17867536820760718,0.17867536820760718,0.02712034348607555,3
Q22,0.14310736223287576,-0.14310736223287576,0.07761108902098401,4
Q23,0.13161831050366327,0.13161831050366327,0.10485889985220993,5
Q37,0.1312709814841771,-0.1312709814841771,0.10578689713608931,6
Q26,0.1080442269121497,0.1080442269121497,0.18372643983032808,7
Q35,0.10219932970911626,-0.10219932970911626,0.20873075163690455,8
Q49,0.09887131118276965,0.09887131118276965,0.22401428447007207,9
Q46,0.09622625419711288,0.09622625419711288,0.23671406371660236,10
Q9,0.09533863213904738,-0.09533863213904738,0.24108661807170198,11
Q31,0.09311303627374613,-0.09311303627374613,0.25229682608527,12
Q7,0.09045179108129792,0.09045179108129792,0.26616714061175545,13
Q56,0.08867995832597131,-0.08867995832597131,0.27568489224369513,14
Q11,0.08812119708679912,0.08812119708679912,0.2787334882837071,15
Q15,0.08434141922833192,0.08434141922833192,0.29995101093129856,16
Q55,0.08317728721444109,-0.08317728721444109,0.30669507434106186,17
Q47,0.08166731340185102,0.08166731340185102,0.31558970182918883,18
Q30,0.07185162735110232,-0.07185162735110232,0.37744783393592923,19
Q16,0.06592681473888282,0.06592681473888282,0.41813360443552827,20
Q17,0.06572315854656699,0.06572315854656699,0.4195760878880252,21
Q25,0.06487390850567151,-0.06487390850567151,0.4256224092922104,22
Q10,0.06452034345278783,-0.06452034345278783,0.428154421715056,23
Q58,0.06411879115253992,0.06411879115253992,0.4310405871224797,24
Q53,0.06087319838290337,-0.06087319838290337,0.4547747406140758,25
Q32,0.05646610590858427,-0.05646610590858427,0.48813841284147885,26
Q28,0.056197078065252315,0.056197078065252315,0.49021654487930305,27
Q60,0.05113177874050778,-0.05113177874050778,0.5302075414672766,28
Q8,0.04881603022396969,0.04881603022396969,0.5490218273934807,29
Q34,0.04659420483228467,-0.04659420483228467,0.567374274844214,30
Q38,0.04454907130901982,0.04454907130901982,0.5845201462261976,31
Q21,0.04339494402818883,0.04339494402818883,0.5943001854830376,32
Q57,0.04131718220763698,-0.04131718220763698,0.6120911147501445,33
Q45,0.041188882071420484,-0.041188882071420484,0.6131972994402216,34
Q36,0.03819483222695458,-0.03819483222695458,0.63925501680626,35
Q43,0.03282665852402441,-0.03282665852402441,0.6870791348895865,36
Q27,0.03103034543069127,0.03103034543069127,0.7033752374181226,37
Q48,0.028522389856899998,0.028522389856899998,0.7263533809535532,38
Q50,0.026274192475273635,-0.026274192475273635,0.7471616009490114,39
Q19,0.025209336362950075,0.025209336362950075,0.7570824980268378,40
Q59,0.024990421755720714,-0.024990421755720714,0.7591270303049,41
Q39,0.022179928640954326,0.022179928640954326,0.7855188714427106,42
Q40,0.021871890186093715,0.021871890186093715,0.7884270006778185,43
Q14,0.021141872517154933,-0.021141872517154933,0.7953305500264322,44
Q44,0.020144990444451005,-0.020144990444451005,0.804783334290917,45
Q6,0.019318935693544877,0.019318935693544877,0.812637801800937,46
Q29,0.01707017832179508,-0.01707017832179508,0.8341124728937175,47
Q54,0.013497292451495266,-0.013497292451495266,0.8684790796709779,48
Q20,0.01325467817060156,-0.01325467817060156,0.8708224253061215,49
Q42,0.010809069380251276,0.010809069380251276,0.8945032311839446,50
Q2,0.010488758331421875,0.010488758331421875,0.8976121681703689,51
Q13,0.008013305105913748,-0.008013305105913748,0.921687862087091,52
Q4,0.007605057523922025,0.007605057523922025,0.925665813863827,53
Q18,0.006445980238501828,-0.006445980238501828,0.9369695314070007,54
Q1,0.006325868501775532,-0.006325868501775532,0.9381416605266633,55
Q51,0.005997627244205399,0.005997627244205399,0.9413455235564454,56
Q41,0.00548469441542131,0.00548469441542131,0.9463539676824102,57
Q33,0.005345254167569952,0.005345254167569952,0.9477158791599976,58
Q5,0.004020508655468889,-0.004020508655468889,0.960661644143914,59
Q3,0.0036150787819132914,0.0036150787819132914,0.9646258228016412,60
