Item,Alpha_if_deleted
Q27,0.04054432769850349
Q20,0.03278397411609686
Q25,0.03270617093793084
Q51,0.03008380208363346
Q44,0.027584681477129752
Q14,0.016946335396604846
Q55,0.01409509819819749
Q46,0.014037315830051078
Q15,0.013047801869769107
Q28,0.012007697172028113
Q26,0.008621052363229399
Q47,0.008499712539089042
Q4,0.004318675796043646
Q19,0.0017508711962005887
Q60,0.0006469041537620068
Q8,-0.00036491637766228893
Q2,-0.0021675732312315924
Q49,-0.0027426781710351783
Q33,-0.003678915966248846
Q21,-0.003713408225370129
Q11,-0.004477708697470917
Q41,-0.004583498784393144
Q39,-0.00571710255087896
Q16,-0.005822597496571845
Q6,-0.006173801578828944
Q10,-0.008925667298704892
Q40,-0.009865460631858346
Q30,-0.010213027291752207
Q56,-0.010601889221024171
Q43,-0.01086217830539734
Q42,-0.011955818117558364
Q24,-0.012138360181532776
Q45,-0.012165198691536235
Q52,-0.012212485824377447
Q9,-0.0125163777398841
Q53,-0.0131603417858085
Q5,-0.013725157146383992
Q18,-0.014930335895779927
Q7,-0.015160573535376448
Q36,-0.01703323226146698
Q31,-0.01742507777330222
Q34,-0.018564499628607505
Q12,-0.01948919406090181
Q35,-0.020338459625950194
Q1,-0.02039595046599167
Q37,-0.020585694733787966
Q59,-0.022243129357848546
Q58,-0.022485558217905943
Q48,-0.027990948154961337
Q29,-0.030750624480460603
Q23,-0.03412887410389878
Q22,-0.035724546163909625
Q17,-0.04137284115067412
Q38,-0.041468465706091966
Q13,-0.04297188656107098
Q50,-0.04332210765690259
Q32,-0.04364711073675961
Q3,-0.04437404393343495
Q57,-0.04640030319119191
Q54,-0.05777045468374669
